Neighborhood;LONGITUDE;LATITUDE;Population density per square kilometre
Cabbagetown-South St.James Town ;-79.3661066581;43.6676477274;8335
Caledonia-Fairbank ;-79.4552120796;43.688568651;6464
Casa Loma ;-79.4080066472;43.6818521005;5683
Centennial Scarborough ;-79.1508432723;43.7823764958;2479
Church-Yonge Corridor ;-79.3790171666;43.6596488635;23044
Clairlea-Birchmount ;-79.2813817842;43.713592375;3632
Clanton Park ;-79.4463025758;43.7419784331;3979
Cliffcrest ;-79.2355295687;43.7211211669;2273
Corso Italia-Davenport ;-79.4474693307;43.6776609067;7478
Danforth ;-79.3298194089;43.6840254743;8554
Danforth East York ;-79.3314033847;43.6894680941;7881
Don Valley Village ;-79.3536441306;43.7832936869;6441
Dorset Park ;-79.2789079388;43.7592743727;4146
Dovercourt-Wallace Emerson-Junction ;-79.4385406986;43.6656769317;9819
Downsview-Roding-CFB ;-79.4904973518;43.7332923453;2337
Dufferin Grove ;-79.4373410365;43.6554283326;8540
East End-Danforth ;-79.2993586723;43.6841738777;8038
Edenbridge-Humber Valley ;-79.5224577643;43.6708859094;2840
Eglinton East ;-79.245598036;43.7409222979;7051
Elms-Old Rexdale ;-79.5489827165;43.7215188684;3306
Englemount-Lawrence ;-79.43740855;43.7203446653;6466
Eringate-Centennial-West Deane ;-79.5804452375;43.6580167554;2171
Etobicoke West Mall ;-79.5689387722;43.6450626244;6582
Flemingdon Park ;-79.3326459673;43.715929754;9026
Forest Hill North ;-79.4281431648;43.7042175596;8054
Forest Hill South ;-79.4143178642;43.6945257564;4380
Glenfield-Jane Heights ;-79.5134653159;43.7456357498;5864
Greenwood-Coxwell ;-79.3243180234;43.6726123109;8582
Guildwood ;-79.1950553496;43.7488293378;2673
Henry Farm ;-79.3412406671;43.7711441425;6047
High Park North ;-79.4663021661;43.6575649139;11726
High Park-Swansea ;-79.4678722243;43.6450645834;4893
Highland Creek ;-79.1774724729;43.7907747688;2403
Hillcrest Village ;-79.3548039999;43.8029878281;3148
Humber Heights-Westmount ;-79.5224162029;43.6922328007;3981
Humber Summit ;-79.5561747363;43.7589197465;1570
Humbermede ;-79.5423671192;43.7434295175;3565
Humewood-Cedarvale ;-79.4276833521;43.6913698124;7682
Ionview ;-79.2724704942;43.7353644077;7031
Islington-City Centre West ;-79.5433165354;43.6334633497;2712
Junction Area ;-79.4714398736;43.6678897668;5442
Keelesdale-Eglinton West ;-79.4714371062;43.6857274725;6467
Kennedy Park ;-79.2603822071;43.7255557232;4770
Kensington-Chinatown ;-79.3972398768;43.6535541316;11806
Kingsview Village-The Westway ;-79.5478633059;43.6989925722;4356
Kingsway South ;-79.5105768007;43.6535204276;3593
L'Amoreaux ;-79.3140842409;43.7957160278;3593
